"id","paperId","questionId","entryNumber","answerText","marksAwarded","guidanceNotes","rawLlMExtractedMarkScheme"
"20001","201","2001","1","The atomic number of hydrogen is 1","1","","{""linked_question_db_id"":null,""entry_number"":""1"",""answer_text"":""The atomic number of hydrogen is 1"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"20002","201","2002","2","Oxygen has the symbol O","1","","{""linked_question_db_id"":null,""entry_number"":""2"",""answer_text"":""Oxygen has the symbol O"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20003","201","2003","3","Table salt has the chemical formula NaCl","1","","{""linked_question_db_id"":null,""entry_number"":""3"",""answer_text"":""Table salt has the chemical formula NaCl"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"20004","201","2004","4","Nitrogen makes up about 78% of Earth's atmosphere","1","","{""linked_question_db_id"":null,""entry_number"":""4"",""answer_text"":""Nitrogen makes up about 78% of Earth's atmosphere"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"20005","201","2005","5","Pure water has a pH of 7 at 25°C","1","","{""linked_question_db_id"":null,""entry_number"":""5"",""answer_text"":""Pure water has a pH of 7 at 25°C"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20006","201","2006","6","Ionic bonds form between metals and non-metals","1","","{""linked_question_db_id"":null,""entry_number"":""6"",""answer_text"":""Ionic bonds form between metals and non-metals"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20007","201","2007","7","Glucose has the molecular formula C6H12O6","1","","{""linked_question_db_id"":null,""entry_number"":""7"",""answer_text"":""Glucose has the molecular formula C6H12O6"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"20008","201","2008","8","Carbon is essential for all organic compounds","1","","{""linked_question_db_id"":null,""entry_number"":""8"",""answer_text"":""Carbon is essential for all organic compounds"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"20009","201","2009","9","The volume of a gas increases when temperature increases at constant pressure","1","","{""linked_question_db_id"":null,""entry_number"":""9"",""answer_text"":""The volume of a gas increases when temperature increases at constant pressure"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20010","201","2010","10","Electrolysis involves the breakdown of compounds using electricity","1","","{""linked_question_db_id"":null,""entry_number"":""10"",""answer_text"":""Electrolysis involves the breakdown of compounds using electricity"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"20011","202","2011","11","An atom with 6 protons and 8 neutrons has a mass number of 14","1","","{""linked_question_db_id"":null,""entry_number"":""11"",""answer_text"":""An atom with 6 protons and 8 neutrons has a mass number of 14"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"20012","202","2012","12","Potassium is the most reactive metal among the options","1","","{""linked_question_db_id"":null,""entry_number"":""12"",""answer_text"":""Potassium is the most reactive metal among the options"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"20013","202","2013","13","Carbon dioxide gas is produced when an acid reacts with a carbonate","1","","{""linked_question_db_id"":null,""entry_number"":""13"",""answer_text"":""Carbon dioxide gas is produced when an acid reacts with a carbonate"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"20014","202","2014","14","Sodium oxide (Na2O) is formed when sodium burns in oxygen","1","","{""linked_question_db_id"":null,""entry_number"":""14"",""answer_text"":""Sodium oxide (Na2O) is formed when sodium burns in oxygen"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20015","202","2015","15","Limestone is the common name for calcium carbonate","1","","{""linked_question_db_id"":null,""entry_number"":""15"",""answer_text"":""Limestone is the common name for calcium carbonate"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20016","202","2016","16","Hydrogen gas is produced when zinc reacts with hydrochloric acid","1","","{""linked_question_db_id"":null,""entry_number"":""16"",""answer_text"":""Hydrogen gas is produced when zinc reacts with hydrochloric acid"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20017","202","2017","17","Iron has the chemical symbol Fe","1","","{""linked_question_db_id"":null,""entry_number"":""17"",""answer_text"":""Iron has the chemical symbol Fe"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20018","202","2018","18","Exothermic reactions release energy","1","","{""linked_question_db_id"":null,""entry_number"":""18"",""answer_text"":""Exothermic reactions release energy"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"20019","202","2019","19","Aluminum has a valency of 3","1","","{""linked_question_db_id"":null,""entry_number"":""19"",""answer_text"":""Aluminum has a valency of 3"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"20020","202","2020","20","Litmus turns red in acidic solutions","1","","{""linked_question_db_id"":null,""entry_number"":""20"",""answer_text"":""Litmus turns red in acidic solutions"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
