"id","paperId","questionId","entryNumber","answerText","marksAwarded","guidanceNotes","rawLlMExtractedMarkScheme"
"30001","301","3001","1","The SI unit of electric current is the Ampere","1","","{""linked_question_db_id"":null,""entry_number"":""1"",""answer_text"":""The SI unit of electric current is the Ampere"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"30002","301","3002","2","Ohm's law states that the current through a conductor is proportional to the voltage","1","","{""linked_question_db_id"":null,""entry_number"":""2"",""answer_text"":""Ohm's law states that the current through a conductor is proportional to the voltage"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"30003","301","3003","3","The speed of light in vacuum is 3 × 10⁸ m/s","1","","{""linked_question_db_id"":null,""entry_number"":""3"",""answer_text"":""The speed of light in vacuum is 3 × 10⁸ m/s"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"30004","301","3004","4","Sound waves require a medium to travel","1","","{""linked_question_db_id"":null,""entry_number"":""4"",""answer_text"":""Sound waves require a medium to travel"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"30005","301","3005","5","The formula for kinetic energy is KE = ½mv²","1","","{""linked_question_db_id"":null,""entry_number"":""5"",""answer_text"":""The formula for kinetic energy is KE = ½mv²"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"30006","301","3006","6","Neutrons have no electric charge","1","","{""linked_question_db_id"":null,""entry_number"":""6"",""answer_text"":""Neutrons have no electric charge"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"30007","301","3007","7","The acceleration due to gravity on Earth is 9.8 m/s²","1","","{""linked_question_db_id"":null,""entry_number"":""7"",""answer_text"":""The acceleration due to gravity on Earth is 9.8 m/s²"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"30008","301","3008","8","Velocity is a vector quantity","1","","{""linked_question_db_id"":null,""entry_number"":""8"",""answer_text"":""Velocity is a vector quantity"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"30009","301","3009","9","Resistance doubles when the length of a wire is doubled","1","","{""linked_question_db_id"":null,""entry_number"":""9"",""answer_text"":""Resistance doubles when the length of a wire is doubled"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"30010","301","3010","10","Gamma rays have the highest frequency among electromagnetic radiations","1","","{""linked_question_db_id"":null,""entry_number"":""10"",""answer_text"":""Gamma rays have the highest frequency among electromagnetic radiations"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""D""}"
"30011","302","3011","11","The SI unit of power is the Watt","1","","{""linked_question_db_id"":null,""entry_number"":""11"",""answer_text"":""The SI unit of power is the Watt"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"30012","302","3012","12","Newton's second law relates force, mass, and acceleration","1","","{""linked_question_db_id"":null,""entry_number"":""12"",""answer_text"":""Newton's second law relates force, mass, and acceleration"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"30013","302","3013","13","The frequency of a wave with wavelength 2m and speed 10 m/s is 5 Hz","1","","{""linked_question_db_id"":null,""entry_number"":""13"",""answer_text"":""The frequency of a wave with wavelength 2m and speed 10 m/s is 5 Hz"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"30014","302","3014","14","Silver is the best conductor of electricity","1","","{""linked_question_db_id"":null,""entry_number"":""14"",""answer_text"":""Silver is the best conductor of electricity"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"30015","302","3015","15","The formula for potential energy is PE = mgh","1","","{""linked_question_db_id"":null,""entry_number"":""15"",""answer_text"":""The formula for potential energy is PE = mgh"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"30016","302","3016","16","Gravitational force keeps planets in orbit around the sun","1","","{""linked_question_db_id"":null,""entry_number"":""16"",""answer_text"":""Gravitational force keeps planets in orbit around the sun"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"30017","302","3017","17","The SI unit of frequency is the Hertz","1","","{""linked_question_db_id"":null,""entry_number"":""17"",""answer_text"":""The SI unit of frequency is the Hertz"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"30018","302","3018","18","Convex lenses converge light rays","1","","{""linked_question_db_id"":null,""entry_number"":""18"",""answer_text"":""Convex lenses converge light rays"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"30019","302","3019","19","Kinetic energy quadruples when speed doubles","1","","{""linked_question_db_id"":null,""entry_number"":""19"",""answer_text"":""Kinetic energy quadruples when speed doubles"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"30020","302","3020","20","Bernoulli's principle explains how airplanes fly","1","","{""linked_question_db_id"":null,""entry_number"":""20"",""answer_text"":""Bernoulli's principle explains how airplanes fly"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
